imageName X Y Z Omega Phi Kappa
100_0005_0005.JPG 7505015.719725 5790171.244961 244.168622 -0.082674 0.062661 -77.724169
100_0005_0010.JPG 7505175.047818 5790169.709296 244.239119 -0.259717 0.005909 -79.409579
100_0005_0015.JPG 7505334.573825 5790168.010686 244.331918 -0.352491 -0.272858 -81.120832
100_0005_0020.JPG 7505493.648009 5790166.208427 244.234286 -0.147719 -0.323147 -82.227429
100_0005_0025.JPG 7505652.701743 5790164.439128 244.313747 -0.141746 -0.195828 -81.660184
100_0005_0030.JPG 7505811.939148 5790162.769644 244.325734 -0.190287 -0.056662 -82.705437
100_0005_0035.JPG 7505969.235957 5790160.059183 244.229507 -0.192392 -0.233144 -80.621333
100_0005_0040.JPG 7506122.216411 5790157.863147 244.173460 -0.248827 -0.104682 -80.055631
100_0005_0045.JPG 7506263.964184 5790147.184522 244.388913 -0.377050 0.066913 -76.935507
100_0005_0050.JPG 7506266.246388 5790088.030545 244.343250 -0.793770 -0.103406 172.056972
100_0005_0055.JPG 7506149.552072 5790086.066474 244.106390 -0.488250 -0.001314 89.129189
100_0005_0060.JPG 7505989.198668 5790088.587678 244.285852 -0.127473 -0.317342 88.736100
100_0005_0065.JPG 7505835.460268 5790087.000160 244.279361 0.095673 -0.394650 85.046522
100_0005_0070.JPG 7505690.793691 5790088.800775 244.286951 0.025775 -0.416792 83.861602
100_0005_0075.JPG 7505529.683883 5790094.098320 244.428550 0.037853 -0.307288 86.291267
100_0005_0080.JPG 7505370.875034 5790095.708824 244.254100 0.016590 -0.329153 86.501688
100_0005_0085.JPG 7505211.328814 5790097.468134 244.373481 0.158239 -0.203435 87.944620
100_0005_0090.JPG 7505052.807704 5790099.063437 244.141670 0.118316 -0.221710 87.534163
100_0005_0095.JPG 7504899.257086 5790100.911278 244.244039 0.191188 -0.253976 89.262725
100_0005_0100.JPG 7504876.505844 5790029.510971 242.572148 -0.424350 0.116127 -128.662865
100_0005_0105.JPG 7505009.953301 5790025.868064 244.337088 -0.701271 0.163754 -82.353483
100_0005_0110.JPG 7505157.367461 5790019.138743 244.326953 -0.685842 0.067960 -82.352861
100_0005_0115.JPG 7505316.865219 5790024.735778 244.209861 -0.497788 -0.086763 -83.736557
100_0005_0120.JPG 7505475.269814 5790022.741510 244.219035 -0.423062 -0.122332 -84.517541
100_0005_0125.JPG 7505634.278580 5790020.928716 244.247796 -0.395703 -0.257833 -82.671906
